,Indicator,Group,State_x,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,State_y,date,cases,state2
360,Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,26.5,LA,2020-05-14,33420,Louisiana
361,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,27.9,LA,2020-05-14,33420,Louisiana
362,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,34.2,LA,2020-05-14,33420,Louisiana
363,Symptoms of Depressive Disorder,By State,Maine,Maine,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,25.6,ME,2020-05-14,1564,Maine
364,Symptoms of Anxiety Disorder,By State,Maine,Maine,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,30.6,ME,2020-05-14,1564,Maine
365,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,34.2,ME,2020-05-14,1564,Maine
366,Symptoms of Depressive Disorder,By State,Maryland,Maryland,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,20.8,MD,2020-05-14,35903,Maryland
367,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,28.3,MD,2020-05-14,35903,Maryland
368,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,32.7,MD,2020-05-14,35903,Maryland
369,Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,22.8,MA,2020-05-14,82182,Massachusetts
370,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,27.4,MA,2020-05-14,82182,Massachusetts
371,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,32.0,MA,2020-05-14,82182,Massachusetts
372,Symptoms of Depressive Disorder,By State,Michigan,Michigan,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,27.9,MI,2020-05-14,49579,Michigan
373,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,28.5,MI,2020-05-14,49579,Michigan
374,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,35.0,MI,2020-05-14,49579,Michigan
375,Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,20.0,MN,2020-05-14,13432,Minnesota
376,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,27.1,MN,2020-05-14,13432,Minnesota
377,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,29.7,MN,2020-05-14,13432,Minnesota
378,Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,36.4,MS,2020-05-14,10469,Mississippi
379,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,36.1,MS,2020-05-14,10469,Mississippi
380,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,44.3,MS,2020-05-14,10469,Mississippi
381,Symptoms of Depressive Disorder,By State,Missouri,Missouri,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,24.3,MO,2020-05-14,11069,Missouri
382,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,30.4,MO,2020-05-14,11069,Missouri
383,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,35.4,MO,2020-05-14,11069,Missouri
384,Symptoms of Depressive Disorder,By State,Montana,Montana,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,21.1,MT,2020-05-14,463,Montana
385,Symptoms of Anxiety Disorder,By State,Montana,Montana,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,25.7,MT,2020-05-14,463,Montana
386,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,29.7,MT,2020-05-14,463,Montana
387,Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,20.4,NE,2020-05-14,9242,Nebraska
388,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,23.3,NE,2020-05-14,9242,Nebraska
389,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,26.2,NE,2020-05-14,9242,Nebraska
390,Symptoms of Depressive Disorder,By State,Nevada,Nevada,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,26.9,NV,2020-05-14,6593,Nevada
391,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,29.0,NV,2020-05-14,6593,Nevada
392,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,36.9,NV,2020-05-14,6593,Nevada
393,Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,20.3,NH,2020-05-14,3382,New Hampshire
394,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,25.2,NH,2020-05-14,3382,New Hampshire
395,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,28.8,NH,2020-05-14,3382,New Hampshire
396,Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,26.9,NJ,2020-05-14,142704,New Jersey
397,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,34.4,NJ,2020-05-14,142704,New Jersey
398,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,39.3,NJ,2020-05-14,142704,New Jersey
399,Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,28.4,NM,2020-05-14,5434,New Mexico
400,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,29.6,NM,2020-05-14,5434,New Mexico
401,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,37.4,NM,2020-05-14,5434,New Mexico
402,Symptoms of Depressive Disorder,By State,New York,New York,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,23.8,NY,2020-05-14,343120,New York
403,Symptoms of Anxiety Disorder,By State,New York,New York,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,26.8,NY,2020-05-14,343120,New York
404,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,34.9,NY,2020-05-14,343120,New York
405,Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,22.6,NC,2020-05-14,16505,North Carolina
406,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,28.4,NC,2020-05-14,16505,North Carolina
407,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,32.2,NC,2020-05-14,16505,North Carolina
408,Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,22.5,ND,2020-05-14,1712,North Dakota
409,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,26.2,ND,2020-05-14,1712,North Dakota
410,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,31.9,ND,2020-05-14,1712,North Dakota
411,Symptoms of Depressive Disorder,By State,Ohio,Ohio,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,27.0,OH,2020-05-14,26355,Ohio
412,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,26.2,OH,2020-05-14,26355,Ohio
413,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,33.9,OH,2020-05-14,26355,Ohio
414,Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,25.7,OK,2020-05-14,4959,Oklahoma
415,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,25.2,OK,2020-05-14,4959,Oklahoma
416,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,29.8,OK,2020-05-14,4959,Oklahoma
417,Symptoms of Depressive Disorder,By State,Oregon,Oregon,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,22.7,OR,2020-05-14,3474,Oregon
418,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,24.2,OR,2020-05-14,3474,Oregon
419,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,31.7,OR,2020-05-14,3474,Oregon
420,Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,19.8,PA,2020-05-14,59633,Pennsylvania
421,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,25.8,PA,2020-05-14,59633,Pennsylvania
422,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,30.0,PA,2020-05-14,59633,Pennsylvania
423,Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,18.8,RI,2020-05-14,12016,Rhode Island
424,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,23.9,RI,2020-05-14,12016,Rhode Island
425,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,26.2,RI,2020-05-14,12016,Rhode Island
426,Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,25.3,SC,2020-05-14,8189,South Carolina
427,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,28.5,SC,2020-05-14,8189,South Carolina
428,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,31.3,SC,2020-05-14,8189,South Carolina
429,Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,22.7,SD,2020-05-14,3790,South Dakota
430,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,22.3,SD,2020-05-14,3790,South Dakota
431,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,27.8,SD,2020-05-14,3790,South Dakota
432,Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,25.6,TN,2020-05-14,16601,Tennessee
433,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,24.8,TN,2020-05-14,16601,Tennessee
434,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,32.5,TN,2020-05-14,16601,Tennessee
435,Symptoms of Depressive Disorder,By State,Texas,Texas,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,24.9,TX,2020-05-14,43851,Texas
436,Symptoms of Anxiety Disorder,By State,Texas,Texas,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,28.8,TX,2020-05-14,43851,Texas
437,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,34.8,TX,2020-05-14,43851,Texas
438,Symptoms of Depressive Disorder,By State,Utah,Utah,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,21.2,UT,2020-05-14,6754,Utah
439,Symptoms of Anxiety Disorder,By State,Utah,Utah,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,26.1,UT,2020-05-14,6754,Utah
440,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,Utah,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,30.3,UT,2020-05-14,6754,Utah
441,Symptoms of Depressive Disorder,By State,Vermont,Vermont,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,19.0,VT,2020-05-14,931,Vermont
442,Symptoms of Anxiety Disorder,By State,Vermont,Vermont,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,25.8,VT,2020-05-14,931,Vermont
443,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,Vermont,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,29.6,VT,2020-05-14,931,Vermont
444,Symptoms of Depressive Disorder,By State,Virginia,Virginia,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,25.4,VA,2020-05-14,27810,Virginia
445,Symptoms of Anxiety Disorder,By State,Virginia,Virginia,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,26.8,VA,2020-05-14,27810,Virginia
446,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,Virginia,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,32.2,VA,2020-05-14,27810,Virginia
447,Symptoms of Depressive Disorder,By State,Washington,Washington,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,23.2,WA,2020-05-14,17771,Washington
448,Symptoms of Anxiety Disorder,By State,Washington,Washington,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,28.9,WA,2020-05-14,17771,Washington
449,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,33.0,WA,2020-05-14,17771,Washington
450,Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,27.0,WV,2020-05-14,1426,West Virginia
451,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,29.3,WV,2020-05-14,1426,West Virginia
452,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,34.3,WV,2020-05-14,1426,West Virginia
453,Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,20.3,WI,2020-05-14,12936,Wisconsin
454,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,23.4,WI,2020-05-14,12936,Wisconsin
455,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,28.0,WI,2020-05-14,12936,Wisconsin
456,Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,20.7,WY,2020-05-14,529,Wyoming
457,Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,24.1,WY,2020-05-14,529,Wyoming
458,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,1.0,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,28.0,WY,2020-05-14,529,Wyoming
459,Symptoms of Depressive Disorder,By State,Alabama,Alabama,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,20.9,AL,2020-05-21,13410,Alabama
460,Symptoms of Anxiety Disorder,By State,Alabama,Alabama,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,25.2,AL,2020-05-21,13410,Alabama
461,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,28.8,AL,2020-05-21,13410,Alabama
462,Symptoms of Depressive Disorder,By State,Alaska,Alaska,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,26.8,AK,2020-05-21,402,Alaska
463,Symptoms of Anxiety Disorder,By State,Alaska,Alaska,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,31.6,AK,2020-05-21,402,Alaska
464,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,36.4,AK,2020-05-21,402,Alaska
465,Symptoms of Depressive Disorder,By State,Arizona,Arizona,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,25.1,AZ,2020-05-21,15315,Arizona
466,Symptoms of Anxiety Disorder,By State,Arizona,Arizona,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,29.3,AZ,2020-05-21,15315,Arizona
467,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,35.5,AZ,2020-05-21,15315,Arizona
468,Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,23.8,AR,2020-05-21,5456,Arkansas
469,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,28.6,AR,2020-05-21,5456,Arkansas
470,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,33.8,AR,2020-05-21,5456,Arkansas
471,Symptoms of Depressive Disorder,By State,California,California,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,26.9,CA,2020-05-21,108131,California
472,Symptoms of Anxiety Disorder,By State,California,California,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,30.4,CA,2020-05-21,108131,California
473,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,36.2,CA,2020-05-21,108131,California
474,Symptoms of Depressive Disorder,By State,Colorado,Colorado,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,25.5,CO,2020-05-21,23178,Colorado
475,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,28.8,CO,2020-05-21,23178,Colorado
476,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,33.5,CO,2020-05-21,23178,Colorado
477,Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,21.0,CT,2020-05-21,39203,Connecticut
478,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,24.7,CT,2020-05-21,39203,Connecticut
479,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,28.0,CT,2020-05-21,39203,Connecticut
480,Symptoms of Depressive Disorder,By State,Delaware,Delaware,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,22.7,DE,2020-05-21,8386,Delaware
481,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,24.2,DE,2020-05-21,8386,Delaware
482,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,31.1,DE,2020-05-21,8386,Delaware
483,Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,20.9,DC,2020-05-21,7788,District of Columbia
484,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,29.9,DC,2020-05-21,7788,District of Columbia
485,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,34.2,DC,2020-05-21,7788,District of Columbia
486,Symptoms of Depressive Disorder,By State,Florida,Florida,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,28.6,FL,2020-05-21,48671,Florida
487,Symptoms of Anxiety Disorder,By State,Florida,Florida,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,34.1,FL,2020-05-21,48671,Florida
488,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,39.1,FL,2020-05-21,48671,Florida
489,Symptoms of Depressive Disorder,By State,Georgia,Georgia,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,27.7,GA,2020-05-21,38234,Georgia
490,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,32.6,GA,2020-05-21,38234,Georgia
491,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,37.5,GA,2020-05-21,38234,Georgia
492,Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,18.5,HI,2020-05-21,642,Hawaii
493,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,19.6,HI,2020-05-21,642,Hawaii
494,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,26.6,HI,2020-05-21,642,Hawaii
495,Symptoms of Depressive Disorder,By State,Idaho,Idaho,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,18.9,ID,2020-05-21,2533,Idaho
496,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,22.1,ID,2020-05-21,2533,Idaho
497,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,24.8,ID,2020-05-21,2533,Idaho
498,Symptoms of Depressive Disorder,By State,Illinois,Illinois,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,24.2,IL,2020-05-21,102686,Illinois
499,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,30.3,IL,2020-05-21,102686,Illinois
500,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,35.6,IL,2020-05-21,102686,Illinois
501,Symptoms of Depressive Disorder,By State,Indiana,Indiana,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,24.8,IN,2020-05-21,29930,Indiana
502,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,30.5,IN,2020-05-21,29930,Indiana
503,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,35.2,IN,2020-05-21,29930,Indiana
504,Symptoms of Depressive Disorder,By State,Iowa,Iowa,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,17.6,IA,2020-05-21,15949,Iowa
505,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,20.6,IA,2020-05-21,15949,Iowa
506,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,25.9,IA,2020-05-21,15949,Iowa
507,Symptoms of Depressive Disorder,By State,Kansas,Kansas,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,25.2,KS,2020-05-21,8678,Kansas
508,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,30.1,KS,2020-05-21,8678,Kansas
509,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,33.2,KS,2020-05-21,8678,Kansas
510,Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,23.2,KY,2020-05-21,8284,Kentucky
511,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,30.8,KY,2020-05-21,8284,Kentucky
512,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,1.0,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,34.7,KY,2020-05-21,8284,Kentucky
